ImageID,DiademScore,SourceImage,FilterType,SigMin,SigMax,SigStep,NeuronThreshold,PruningThreshold,SmoothingFactor,NumPointsPerBranch
OP_1,0.806,OP_1,frangi,1.0,2.0,0.5,0.05,10,0.8,15
OP_2,0.782,OP_2,frangi,1.0,2.0,0.5,0.05,10,0.8,15
OP_3,0.745,OP_3,frangi,1.0,2.0,0.5,0.05,10,0.8,15
OP_4,0.528,OP_4,frangi,1.0,2.0,0.5,0.05,10,0.8,15
OP_5,0,OP_5,frangi,1.0,2.0,0.5,0.05,10,0.8,15
OP_6,0.81,OP_6,frangi,1.0,2.0,0.5,0.05,10,0.8,15
OP_7,0.829,OP_7,frangi,1.0,2.0,0.5,0.05,10,0.8,15
OP_8,0.784,OP_8,frangi,1.0,2.0,0.5,0.05,10,0.8,15
OP_9,0.603,OP_9,frangi,1.0,2.0,0.5,0.05,10,0.8,15
Total Sum: 5.887, Mean: 0.654
OP_1,0.811,OP_1,yang,1.0,2.0,0.5,0.05,10,0.8,15
OP_2,0.786,OP_2,yang,1.0,2.0,0.5,0.05,10,0.8,15
OP_3,0.786,OP_3,yang,1.0,2.0,0.5,0.05,10,0.8,15
OP_4,0.412,OP_4,yang,1.0,2.0,0.5,0.05,10,0.8,15
OP_5,0.62,OP_5,yang,1.0,2.0,0.5,0.05,10,0.8,15
OP_6,0.797,OP_6,yang,1.0,2.0,0.5,0.05,10,0.8,15
OP_7,0.855,OP_7,yang,1.0,2.0,0.5,0.05,10,0.8,15
OP_8,0.589,OP_8,yang,1.0,2.0,0.5,0.05,10,0.8,15
OP_9,0.527,OP_9,yang,1.0,2.0,0.5,0.05,10,0.8,15
Total Sum: 6.183, Mean: 0.687
