ImageID,DiademScore,SourceImage,FilterType,SigMin,SigMax,SigStep,NeuronThreshold,PruningThreshold,SmoothingFactor,NumPointsPerBranch
OP_1,0.732,OP_1,yang,1.0,2.5,0.5,1.0,12,0.5,22
OP_2,0.813,OP_2,yang,1.0,2.5,0.5,1.0,12,0.5,22
OP_3,0.27,OP_3,yang,1.0,2.5,0.5,1.0,12,0.5,22
OP_4,0.458,OP_4,yang,1.0,2.5,0.5,1.0,12,0.5,22
OP_5,0.623,OP_5,yang,1.0,2.5,0.5,1.0,12,0.5,22
OP_6,0.81,OP_6,yang,1.0,2.5,0.5,1.0,12,0.5,22
OP_7,0.889,OP_7,yang,1.0,2.5,0.5,1.0,12,0.5,22
OP_8,0.189,OP_8,yang,1.0,2.5,0.5,1.0,12,0.5,22
OP_9,0.413,OP_9,yang,1.0,2.5,0.5,1.0,12,0.5,22
OP_1,0.732,OP_1,yang,1.0,2.5,0.5,0.1,12,0.5,22
OP_2,0.813,OP_2,yang,1.0,2.5,0.5,0.1,12,0.5,22
OP_3,0.27,OP_3,yang,1.0,2.5,0.5,0.1,12,0.5,22
OP_4,0.458,OP_4,yang,1.0,2.5,0.5,0.1,12,0.5,22
OP_5,0.623,OP_5,yang,1.0,2.5,0.5,0.1,12,0.5,22
OP_6,0.81,OP_6,yang,1.0,2.5,0.5,0.1,12,0.5,22
OP_7,0.889,OP_7,yang,1.0,2.5,0.5,0.1,12,0.5,22
OP_8,0.189,OP_8,yang,1.0,2.5,0.5,0.1,12,0.5,22
OP_9,0.413,OP_9,yang,1.0,2.5,0.5,0.1,12,0.5,22
OP_1,0.86,OP_1,yang,1.0,2.5,0.5,0.05,8,0.5,22
OP_2,0.785,OP_2,yang,1.0,2.5,0.5,0.05,8,0.5,22
OP_3,0.224,OP_3,yang,1.0,2.5,0.5,0.05,8,0.5,22
OP_4,0.47,OP_4,yang,1.0,2.5,0.5,0.05,8,0.5,22
OP_5,0.523,OP_5,yang,1.0,2.5,0.5,0.05,8,0.5,22
OP_6,0.81,OP_6,yang,1.0,2.5,0.5,0.05,8,0.5,22
OP_7,0.932,OP_7,yang,1.0,2.5,0.5,0.05,8,0.5,22
OP_8,0.141,OP_8,yang,1.0,2.5,0.5,0.05,8,0.5,22
OP_9,0.426,OP_9,yang,1.0,2.5,0.5,0.05,8,0.5,22
OP_1,0,OP_1,yang,1.0,2.5,0.5,0.005,4,0.5,22
OP_2,0.427,OP_2,yang,1.0,2.5,0.5,0.005,4,0.5,22
OP_3,0.015,OP_3,yang,1.0,2.5,0.5,0.005,4,0.5,22
OP_4,0,OP_4,yang,1.0,2.5,0.5,0.005,4,0.5,22
OP_5,0,OP_5,yang,1.0,2.5,0.5,0.005,4,0.5,22
OP_6,0,OP_6,yang,1.0,2.5,0.5,0.005,4,0.5,22
OP_7,0.795,OP_7,yang,1.0,2.5,0.5,0.005,4,0.5,22
OP_8,0,OP_8,yang,1.0,2.5,0.5,0.005,4,0.5,22
OP_9,0,OP_9,yang,1.0,2.5,0.5,0.005,4,0.5,22
OP_1,0.758,OP_1,yang,2.0,4.0,0.5,1.0,12,0.5,22
OP_2,0.648,OP_2,yang,2.0,4.0,0.5,1.0,12,0.5,22
OP_3,0.538,OP_3,yang,2.0,4.0,0.5,1.0,12,0.5,22
OP_4,0.565,OP_4,yang,2.0,4.0,0.5,1.0,12,0.5,22
OP_5,0.589,OP_5,yang,2.0,4.0,0.5,1.0,12,0.5,22
OP_6,0.81,OP_6,yang,2.0,4.0,0.5,1.0,12,0.5,22
OP_7,0.864,OP_7,yang,2.0,4.0,0.5,1.0,12,0.5,22
OP_8,0.165,OP_8,yang,2.0,4.0,0.5,1.0,12,0.5,22
OP_9,0.705,OP_9,yang,2.0,4.0,0.5,1.0,12,0.5,22
OP_1,0.758,OP_1,yang,2.0,4.0,0.5,0.1,12,0.5,22
OP_2,0.648,OP_2,yang,2.0,4.0,0.5,0.1,12,0.5,22
OP_3,0.538,OP_3,yang,2.0,4.0,0.5,0.1,12,0.5,22
OP_4,0.565,OP_4,yang,2.0,4.0,0.5,0.1,12,0.5,22
OP_5,0.589,OP_5,yang,2.0,4.0,0.5,0.1,12,0.5,22
OP_6,0.81,OP_6,yang,2.0,4.0,0.5,0.1,12,0.5,22
OP_7,0.864,OP_7,yang,2.0,4.0,0.5,0.1,12,0.5,22
OP_8,0.165,OP_8,yang,2.0,4.0,0.5,0.1,12,0.5,22
OP_9,0.705,OP_9,yang,2.0,4.0,0.5,0.1,12,0.5,22
OP_1,0.796,OP_1,yang,2.0,4.0,0.5,0.05,8,0.5,22
OP_2,0.785,OP_2,yang,2.0,4.0,0.5,0.05,8,0.5,22
OP_3,0.435,OP_3,yang,2.0,4.0,0.5,0.05,8,0.5,22
